구직신청번호,성별,나이,학력공통코드,학력공통코드명,희망근무지역(시도)_1,희망근무지역명(시군구)_1,희망근무지역명(시도)_2,희망근무지역명(시군구)_2,희망직종공통코드,희망직종공통코드명,희망직종경력년수,희망직종경력개월수,희망직종경력년_월수,구직인증상태공통구분,구직인증상태공통구분명,검색키워드1,검색키워드2,검색키워드3,검색키워드4,검색키워드5,등록일시,수정일시
H127202107052540,여,68,J00106,고등학교,서울,성동구,서울,,550104,재가 요양보호사,3,0,3년0월,J03404,알선,,,,,,36:39.0,36:44.0
H303202107052539,여,54,J00112,석사과정,서울,용산구,서울,,25500,공공행정 사무원,,,신입,J03402,승인,바리스타,용산,,,,35:25.0,35:29.0
H001202107052538,남,22,J00106,고등학교,서울,송파구,서울,용산구,541300,시설?특수 경비원,,,신입,J03402,승인,,,,,,30:49.0,42:38.0
H112202107052505,여,65,J00106,고등학교,서울,중구,서울,,532302,단체 급식 보조원,,,신입,J03402,승인,,,,,,28:11.0,28:15.0
H304202107052504,여,62,J00104,중학교,서울,성동구,서울,광진구,550104,재가 요양보호사,,,신입,J03404,알선,,,,,,28:05.0,28:08.0
H321202107052503,여,62,J00106,고등학교,서울,관악구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),1,7,1년7월,J03402,승인,,,,,,27:54.0,27:58.0
H001202107052502,여,26,J00108,전문대학,서울,영등포구,서울,,414500,지휘자 작곡가 및 연주가,,,신입,J03402,승인,,,,,,27:00.0,43:56.0
H315202107052501,남,60,J00100,관계없음,서울,양천구,서울,,542002,건물 경비원(청사학교병원상가빌딩공장 등),,,신입,J03405,알선대기,,,,,,25:05.0,25:09.0
H310202107052468,여,67,J00104,중학교,서울,도봉구,서울,,550104,재가 요양보호사,6,0,6년0월,J03404,알선,,,,,,18:54.0,18:58.0
H305202107052466,남,59,J00106,고등학교,서울,광진구,서울,,542001,아파트?빌라 경비원,1,0,1년0월,J03404,알선,,,,,,14:54.0,14:57.0
H001202107052465,남,61,J00106,고등학교,서울,종로구,서울,성동구,814002,건물용 냉난방 설비 조작원,6,11,6년11월,J03404,알선,,,,,,11:31.0,16:53.0
H001202107052454,여,55,J00106,고등학교,서울,,,,29500,전산자료 입력원 및 사무 보조원,10,0,10년0월,J03402,승인,조경기능사,식물관리,,,,10:18.0,20:35.0
H320202107052428,남,74,J00106,고등학교,서울,동작구,서울,,561201,환경 미화원,,,신입,J03402,승인,,,,,,02:54.0,02:57.0
H316202107052427,여,70,J00106,고등학교,서울,강서구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),5,0,5년0월,J03404,알선,,,,,,01:46.0,01:49.0
H307202107052390,여,65,J00101,무학력,서울,중랑구,서울,동대문구,561100,청소원,0,7,0년7월,J03402,승인,,,,,,55:53.0,55:56.0
H315202107052389,여,65,J00100,관계없음,서울,양천구,서울,강서구,307902,산후조리 종사원(산모 도우미),,,신입,J03404,알선,,,,,,52:24.0,52:29.0
H325202107052388,여,48,J00108,전문대학,서울,강동구,,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03402,승인,,,,,,51:58.0,52:01.0
H319202107052387,여,50,J00108,전문대학,서울,,서울,영등포구,305000,영양사,6,0,6년0월,J03402,승인,,,,,,51:50.0,51:54.0
H314202107052386,남,59,J00106,고등학교,서울,마포구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03404,알선,,,,,,51:12.0,51:16.0
H323202107052385,남,57,J00110,대학_대학교,서울,강동구,서울,강남구,562300,주차 관리?안내원,,,신입,J03402,승인,,,,,,50:43.0,50:47.0
H309202107052384,여,55,J00104,중학교,서울,강북구,서울,,550104,재가 요양보호사,1,0,1년0월,J03404,알선,,,,,,50:26.0,50:29.0
H001202107052355,여,23,J00110,대학_대학교,서울,,경기,,134101,데이터 설계 및 프로그래머,,,신입,J03402,승인,,,,,,48:50.0,20:28.0
H306202107052353,여,58,J00104,중학교,서울,동대문구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03404,알선,,,,,,45:34.0,45:39.0
H319202107052352,여,60,J00102,초등학교,서울,영등포구,서울,,550104,재가 요양보호사,,,신입,J03404,알선,요양보호사,건물청소,청소,봉제,,44:34.0,44:38.0
H322202107052351,여,59,J00104,중학교,서울,서초구,서울,강남구,550103,시설 요양보호사(노인요양사),10,0,10년0월,J03404,알선,,,,,,43:54.0,43:58.0
H315202107052350,여,63,J00100,관계없음,서울,양천구,서울,강서구,550200,육아 도우미(베이비시터),,,신입,J03402,승인,,,,,,43:33.0,43:37.0
H324202107052349,여,54,J00106,고등학교,서울,송파구,서울,강동구,615102,대형마트 판매원,10,0,10년0월,J03404,알선,,,,,,41:12.0,41:16.0
H325202107052348,여,59,J00106,고등학교,서울,강동구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03404,알선,,,,,,40:53.0,40:57.0
H306202107052347,여,55,J00104,중학교,서울,동대문구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),1,0,1년0월,J03402,승인,,,,,,40:36.0,40:40.0
H311202107052311,여,63,J00104,중학교,서울,노원구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),5,0,5년0월,J03404,알선,,,,,,39:22.0,39:25.0
H315202107052310,여,57,J00106,고등학교,서울,양천구,서울,,613006,기타 텔레마케터,10,0,10년0월,J03402,승인,,,,,,38:40.0,38:44.0
H315202107052309,여,46,J00108,전문대학,서울,양천구,서울,강서구,615101,백화점 판매원,,,신입,J03402,승인,,,,,,38:03.0,38:06.0
H119202107052308,여,67,J00106,고등학교,서울,은평구,서울,,550104,재가 요양보호사,6,0,6년0월,J03402,승인,,,,,,37:55.0,37:58.0
H319202107052307,여,51,J00106,고등학교,서울,영등포구,,,25500,공공행정 사무원,,,신입,J03402,승인,,,,,,37:51.0,37:54.0
H001202107052306,남,68,J00106,고등학교,서울,,경기,성남시,814002,건물용 냉난방 설비 조작원,12,0,12년0월,J03404,알선,,,,,,37:41.0,09:43.0
H324202107052305,여,62,J00110,대학_대학교,서울,송파구,,,232901,노인 생활지도원,,,신입,J03404,알선,,,,,,36:53.0,36:57.0
H301202107052304,여,65,J00110,대학_대학교,서울,,,,550104,재가 요양보호사,1,0,1년0월,J03404,알선,,,,,,36:33.0,36:36.0
H001202107052303,여,29,J00110,대학_대학교,서울,강동구,서울,,413200,사서 및 기록물 관리사,1,7,1년7월,J03402,승인,,,,,,35:41.0,55:47.0
H306202107052302,여,48,J00106,고등학교,서울,동대문구,서울,,29104,데스크 안내원,10,0,10년0월,J03402,승인,,,,,,32:31.0,32:35.0
H309202107052301,여,60,J00104,중학교,서울,강북구,서울,,550102,재가 간병인,5,0,5년0월,J03402,승인,,,,,,31:19.0,31:22.0
H316202107052300,여,63,J00106,고등학교,서울,강서구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),1,5,1년5월,J03402,승인,,,,,,31:01.0,31:01.0
H316202107052299,여,69,J00104,중학교,서울,강서구,서울,양천구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),3,0,3년0월,J03404,알선,,,,,,30:51.0,30:54.0
H319202107052279,여,68,J00104,중학교,서울,영등포구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),7,0,7년0월,J03402,승인,빌딩청소원,,,,,30:14.0,30:17.0
H316202107052249,여,60,J00104,중학교,서울,강서구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),9,0,9년0월,J03404,알선,,,,,,28:01.0,28:04.0
